make_model,body_type,Body Color,km,hp,Gearing Type,Extras,price
Audi A1,Sedans,White,71000,85,Manual,Sport,13490
Audi A1,Sedans,Black,24999,85,Manual,Sport,13490
Audi A1,Sedans,Black,46400,85,Manual,Sport,13490
Audi A1,Sedans,Black,81600,85,Manual,Others,13680
Audi A1,Sedans,White,65500,85,Manual,Others,13640
Audi A1,Sedans,Black,25950,85,Manual,Others,13650
Audi A1,Compact,White,32779,85,Manual,Others,13490
Audi A1,Compact,Blue,75800,85,Manual,Converter,13660
Audi A1,Compact,Black,23450,85,Manual,Others,13680
Audi A1,Sedans,Black,63952,85,Manual,Sport,13750
Audi A1,Sedans,Grey,34000,85,Manual,Sport,13900
Audi A1,Sedans,Black,47155,85,Manual,Sport,13900
Audi A1,Sedans,Blue,80000,85,Manual,Sport,13900
Audi A1,Compact,Silver,39838,85,Manual,Others,13900
Audi A1,Compact,White,30000,85,Manual,Others,13890
Audi A1,Compact,White,22223,85,Manual,Others,13890
Audi A1,Compact,Black,107592,85,Manual,Sport,13890
Audi A1,Compact,White,125000,85,Manual,Sport,13890
Audi A1,Sedans,Black,20000,85,Manual,Others,13900
Audi A1,Sedans,Brown,38900,85,Manual,Others,13890
Audi A1,Sedans,Blue,18371,85,Manual,Others,13890
Audi A1,Sedans,Blue,18371,85,Manual,Others,13890
Audi A1,Sedans,Blue,18371,85,Manual,Others,13890
Audi A1,Sedans,Silver,84708,85,Manual,Others,13940
Audi A1,Sedans,Silver,115000,85,Manual,Others,13940
Audi A1,Compact,Black,58011,85,Manual,Others,13940
Audi A1,Sedans,Blue,56989,85,Manual,Others,13900
Audi A1,Sedans,Black,65000,85,Manual,Others,13900
Audi A1,Compact,Silver,40200,85,Manual,Others,13900
Audi A1,Sedans,Black,59000,85,Manual,Sport,13900
Audi A1,Sedans,Grey,24978,85,Manual,Others,13900
Audi A1,Sedans,White,10000,85,Manual,Others,13900
Audi A1,Sedans,Blue,100000,85,Manual,Others,13900
Audi A1,Sedans,White,44000,85,Manual,Sport,13900
Audi A1,Sedans,Grey,36040,85,Manual,Sport,13900
Audi A1,Compact,Black,84500,85,Manual,Sport,13900
Audi A1,Compact,Grey,45521,85,Manual,Others,13900
Audi A1,Compact,Grey,61582,85,Manual,Others,13900
Audi A1,Compact,Grey,67992,85,Manual,Others,13900
Audi A1,Sedans,White,49000,85,Manual,Sport,13900
